Region|construct|question|question_header|question_subheader|answer_type|count_met|count_staffs|pct_met|report_group|staff_group|ext_reference_cleaned|School|lt10supp|rank_order|count_lt10supp|compsupp|flag_supp|count_met_og|count_staffs_og|suppression_notes|year
RegionA|PS|q01a|Have you helped one or more students at your school explore the following post-high school options?|1-year certificate/trades program|Yes/No|132|198|0.666666666666667|All|All||All Schools|0|1|0|0|0|132|198|na|2024
RegionA|PS|q01a|Have you helped one or more students at your school explore the following post-high school options?|1-year certificate/trades program|Yes/No|0|11|0|Gender|Other/Unknown/Prefer Not to Say||All Schools|0|1|0|0|0|0|11|na|2024
RegionA|PS|q01a|Have you helped one or more students at your school explore the following post-high school options?|1-year certificate/trades program|Yes/No|66|77|0.857142857142857|Gender|Male||All Schools|0|2|0|0|0|66|77|na|2024
RegionA|PS|q01a|Have you helped one or more students at your school explore the following post-high school options?|1-year certificate/trades program|Yes/No|66|110|0.6|Gender|Female||All Schools|0|3|0|0|0|66|110|na|2024
RegionA|PS|q01a|Have you helped one or more students at your school explore the following post-high school options?|1-year certificate/trades program|Yes/No|11|11|1|Race/Ethnicity|Hispanic/Latine/x||All Schools|0|1|0|0|0|11|11|na|2024
RegionA|PS|q01a|Have you helped one or more students at your school explore the following post-high school options?|1-year certificate/trades program|Yes/No|11|11|1|Race/Ethnicity|Staff of Color||All Schools|0|2|0|0|0|11|11|na|2024
RegionA|PS|q01a|Have you helped one or more students at your school explore the following post-high school options?|1-year certificate/trades program|Yes/No|121|187|0.647058823529412|Race/Ethnicity|White||All Schools|0|3|0|0|0|121|187|na|2024
RegionA|PS|q01b|Have you helped one or more students at your school explore the following post-high school options?|2-year degree/Associate degree|Yes/No|187|198|0.944444444444444|All|All||All Schools|0|1|0|0|0|187|198|na|2024
RegionA|PS|q01b|Have you helped one or more students at your school explore the following post-high school options?|2-year degree/Associate degree|Yes/No|0|11|0|Gender|Other/Unknown/Prefer Not to Say||All Schools|0|1|0|0|0|0|11|na|2024
RegionA|PS|q01b|Have you helped one or more students at your school explore the following post-high school options?|2-year degree/Associate degree|Yes/No|77|77|1|Gender|Male||All Schools|0|2|0|0|0|77|77|na|2024
RegionA|PS|q01b|Have you helped one or more students at your school explore the following post-high school options?|2-year degree/Associate degree|Yes/No|110|110|1|Gender|Female||All Schools|0|3|0|0|0|110|110|na|2024
RegionA|PS|q01b|Have you helped one or more students at your school explore the following post-high school options?|2-year degree/Associate degree|Yes/No|11|11|1|Race/Ethnicity|Hispanic/Latine/x||All Schools|0|1|0|0|0|11|11|na|2024
RegionA|PS|q01b|Have you helped one or more students at your school explore the following post-high school options?|2-year degree/Associate degree|Yes/No|11|11|1|Race/Ethnicity|Staff of Color||All Schools|0|2|0|0|0|11|11|na|2024
RegionA|PS|q01b|Have you helped one or more students at your school explore the following post-high school options?|2-year degree/Associate degree|Yes/No|176|187|0.941176470588235|Race/Ethnicity|White||All Schools|0|3|0|0|0|176|187|na|2024
RegionA|PS|q01c|Have you helped one or more students at your school explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|154|198|0.777777777777778|All|All||All Schools|0|1|0|0|0|154|198|na|2024
RegionA|PS|q01c|Have you helped one or more students at your school explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|11|11|1|Gender|Other/Unknown/Prefer Not to Say||All Schools|0|1|0|0|0|11|11|na|2024
RegionA|PS|q01c|Have you helped one or more students at your school explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|66|77|0.857142857142857|Gender|Male||All Schools|0|2|0|0|0|66|77|na|2024
RegionA|PS|q01c|Have you helped one or more students at your school explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|77|110|0.7|Gender|Female||All Schools|0|3|0|0|0|77|110|na|2024
RegionA|PS|q01c|Have you helped one or more students at your school explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|11|11|1|Race/Ethnicity|Hispanic/Latine/x||All Schools|0|1|0|0|0|11|11|na|2024
RegionA|PS|q01c|Have you helped one or more students at your school explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|11|11|1|Race/Ethnicity|Staff of Color||All Schools|0|2|0|0|0|11|11|na|2024
RegionA|PS|q01c|Have you helped one or more students at your school explore the following post-high school options?|Apprenticeship (a paid job that provides both hands-on experience and classroom instruction in a specific field)|Yes/No|143|187|0.764705882352941|Race/Ethnicity|White||All Schools|0|3|0|0|0|143|187|na|2024
RegionA|PS|q01d|Have you helped one or more students at your school explore the following post-high school options?|4-year degree or higher|Yes/No|198|198|1|All|All||All Schools|0|1|0|0|0|198|198|na|2024
RegionA|PS|q01d|Have you helped one or more students at your school explore the following post-high school options?|4-year degree or higher|Yes/No|11|11|1|Gender|Other/Unknown/Prefer Not to Say||All Schools|0|1|0|0|0|11|11|na|2024
RegionA|PS|q01d|Have you helped one or more students at your school explore the following post-high school options?|4-year degree or higher|Yes/No|77|77|1|Gender|Male||All Schools|0|2|0|0|0|77|77|na|2024
RegionA|PS|q01d|Have you helped one or more students at your school explore the following post-high school options?|4-year degree or higher|Yes/No|110|110|1|Gender|Female||All Schools|0|3|0|0|0|110|110|na|2024
RegionA|PS|q01d|Have you helped one or more students at your school explore the following post-high school options?|4-year degree or higher|Yes/No|11|11|1|Race/Ethnicity|Hispanic/Latine/x||All Schools|0|1|0|0|0|11|11|na|2024
RegionA|PS|q01d|Have you helped one or more students at your school explore the following post-high school options?|4-year degree or higher|Yes/No|11|11|1|Race/Ethnicity|Staff of Color||All Schools|0|2|0|0|0|11|11|na|2024
RegionA|PS|q01d|Have you helped one or more students at your school explore the following post-high school options?|4-year degree or higher|Yes/No|187|187|1|Race/Ethnicity|White||All Schools|0|3|0|0|0|187|187|na|2024
RegionA|PS|q01e|Have you helped one or more students at your school explore the following post-high school options?|I have helped students explore other post-high school options|Yes/No|132|198|0.666666666666667|All|All||All Schools|0|1|0|0|0|132|198|na|2024
RegionA|PS|q01e|Have you helped one or more students at your school explore the following post-high school options?|I have helped students explore other post-high school options|Yes/No|0|11|0|Gender|Other/Unknown/Prefer Not to Say||All Schools|0|1|0|0|0|0|11|na|2024
RegionA|PS|q01e|Have you helped one or more students at your school explore the following post-high school options?|I have helped students explore other post-high school options|Yes/No|44|77|0.571428571428571|Gender|Male||All Schools|0|2|0|0|0|44|77|na|2024
RegionA|PS|q01e|Have you helped one or more students at your school explore the following post-high school options?|I have helped students explore other post-high school options|Yes/No|88|110|0.8|Gender|Female||All Schools|0|3|0|0|0|88|110|na|2024
RegionA|PS|q01e|Have you helped one or more students at your school explore the following post-high school options?|I have helped students explore other post-high school options|Yes/No|11|11|1|Race/Ethnicity|Hispanic/Latine/x||All Schools|0|1|0|0|0|11|11|na|2024
RegionA|PS|q01e|Have you helped one or more students at your school explore the following post-high school options?|I have helped students explore other post-high school options|Yes/No|11|11|1|Race/Ethnicity|Staff of Color||All Schools|0|2|0|0|0|11|11|na|2024
RegionA|PS|q01e|Have you helped one or more students at your school explore the following post-high school options?|I have helped students explore other post-high school options|Yes/No|121|187|0.647058823529412|Race/Ethnicity|White||All Schools|0|3|0|0|0|121|187|na|2024
RegionA|PS|q03a|What percentage of students in this school do you believe WANT to obtain some level of post-high school education, including apprenticeship, 1-year and 2-year certificate, and 2-year and 4-year college? Percentage Slider||Continuous|55|198|0.277777777777778|All|All||All Schools|0|1|0|0|0|55|198|na|2024
RegionA|PS|q03a|What percentage of students in this school do you believe WANT to obtain some level of post-high school education, including apprenticeship, 1-year and 2-year certificate, and 2-year and 4-year college? Percentage Slider||Continuous|0|11|0|Gender|Other/Unknown/Prefer Not to Say||All Schools|0|1|0|0|0|0|11|na|2024
RegionA|PS|q03a|What percentage of students in this school do you believe WANT to obtain some level of post-high school education, including apprenticeship, 1-year and 2-year certificate, and 2-year and 4-year college? Percentage Slider||Continuous|11|77|0.142857142857143|Gender|Male||All Schools|0|2|0|0|0|11|77|na|2024
RegionA|PS|q03a|What percentage of students in this school do you believe WANT to obtain some level of post-high school education, including apprenticeship, 1-year and 2-year certificate, and 2-year and 4-year college? Percentage Slider||Continuous|44|110|0.4|Gender|Female||All Schools|0|3|0|0|0|44|110|na|2024
RegionA|PS|q03a|What percentage of students in this school do you believe WANT to obtain some level of post-high school education, including apprenticeship, 1-year and 2-year certificate, and 2-year and 4-year college? Percentage Slider||Continuous|0|11|0|Race/Ethnicity|Hispanic/Latine/x||All Schools|0|1|0|0|0|0|11|na|2024
RegionA|PS|q03a|What percentage of students in this school do you believe WANT to obtain some level of post-high school education, including apprenticeship, 1-year and 2-year certificate, and 2-year and 4-year college? Percentage Slider||Continuous|0|11|0|Race/Ethnicity|Staff of Color||All Schools|0|2|0|0|0|0|11|na|2024
RegionA|PS|q03a|What percentage of students in this school do you believe WANT to obtain some level of post-high school education, including apprenticeship, 1-year and 2-year certificate, and 2-year and 4-year college? Percentage Slider||Continuous|55|187|0.294117647058824|Race/Ethnicity|White||All Schools|0|3|0|0|0|55|187|na|2024
RegionA|PS|q06a|How much do you know about the following post-high school options?|1-year certificate/trades program|Knowledgeable|55|198|0.277777777777778|All|All||All Schools|0|1|0|0|0|55|198|na|2024
RegionA|PS|q06a|How much do you know about the following post-high school options?|1-year certificate/trades program|Knowledgeable|0|11|0|Gender|Other/Unknown/Prefer Not to Say||All Schools|0|1|0|0|0|0|11|na|2024
RegionA|PS|q06a|How much do you know about the following post-high school options?|1-year certificate/trades program|Knowledgeable|33|77|0.428571428571429|Gender|Male||All Schools|0|2|0|0|0|33|77|na|2024
RegionA|PS|q06a|How much do you know about the following post-high school options?|1-year certificate/trades program|Knowledgeable|22|110|0.2|Gender|Female||All Schools|0|3|0|0|0|22|110|na|2024
RegionA|PS|q06a|How much do you know about the following post-high school options?|1-year certificate/trades program|Knowledgeable|11|11|1|Race/Ethnicity|Hispanic/Latine/x||All Schools|0|1|0|0|0|11|11|na|2024
RegionA|PS|q06a|How much do you know about the following post-high school options?|1-year certificate/trades program|Knowledgeable|11|11|1|Race/Ethnicity|Staff of Color||All Schools|0|2|0|0|0|11|11|na|2024
RegionA|PS|q06a|How much do you know about the following post-high school options?|1-year certificate/trades program|Knowledgeable|44|187|0.235294117647059|Race/Ethnicity|White||All Schools|0|3|0|0|0|44|187|na|2024
RegionA|PS|q06b|How much do you know about the following post-high school options?|2-year degree/Associate degree|Knowledgeable|165|198|0.833333333333333|All|All||All Schools|0|1|0|0|0|165|198|na|2024
