construct|question|question_header|question_subheader|answer_type|count_met|count_staffs|pct_met|report_group|staff_group|ext_reference_cleaned|School|Region|lt10supp|rank_order|count_lt10supp|compsupp|flag_supp|count_met_og|count_staffs_og|suppression_notes|year
PS|q01a|Have you helped one or more students at your school explore the following post-high school options?|1-year certificate/trades program|Yes/No|154|242|0.636363636363636|All|All||All Schools|All Regions|0|1|0|0|0|154|242|na|2024
PS|q01a|Have you helped one or more students at your school explore the following post-high school options?|1-year certificate/trades program|Yes/No|11|22|0.5|Gender|Other/Unknown/Prefer Not to Say||All Schools|All Regions|0|1|0|0|0|11|22|na|2024
PS|q01a|Have you helped one or more students at your school explore the following post-high school options?|1-year certificate/trades program|Yes/No|66|110|0.6|Gender|Female||All Schools|All Regions|0|2|0|0|0|66|110|na|2024
PS|q01a|Have you helped one or more students at your school explore the following post-high school options?|1-year certificate/trades program|Yes/No|77|110|0.7|Gender|Male||All Schools|All Regions|0|3|0|0|0|77|110|na|2024
PS|q01a|Have you helped one or more students at your school explore the following post-high school options?|1-year certificate/trades program|Yes/No|11|11|1|Race/Ethnicity|Hispanic/Latine/x||All Schools|All Regions|0|1|0|0|0|11|11|na|2024
PS|q01a|Have you helped one or more students at your school explore the following post-high school options?|1-year certificate/trades program|Yes/No|11|11|1|Race/Ethnicity|Unknown||All Schools|All Regions|0|2|0|0|0|11|11|na|2024
PS|q01a|Have you helped one or more students at your school explore the following post-high school options?|1-year certificate/trades program|Yes/No|11|11|1|Race/Ethnicity|Staff of Color||All Schools|All Regions|0|3|0|0|0|11|11|na|2024
PS|q01a|Have you helped one or more students at your school explore the following post-high school options?|1-year certificate/trades program|Yes/No|132|220|0.6|Race/Ethnicity|White||All Schools|All Regions|0|4|0|0|0|132|220|na|2024
PS|q01b|Have you helped one or more students at your school explore the following post-high school options?|2-year degree/Associate degree|Yes/No|220|242|0.909090909090909|All|All||All Schools|All Regions|0|1|0|0|0|220|242|na|2024
PS|q01b|Have you helped one or more students at your school explore the following post-high school options?|2-year degree/Associate degree|Yes/No|11|22|0.5|Gender|Other/Unknown/Prefer Not to Say||All Schools|All Regions|0|1|0|0|0|11|22|na|2024
PS|q01b|Have you helped one or more students at your school explore the following post-high school options?|2-year degree/Associate degree|Yes/No|110|110|1|Gender|Female||All Schools|All Regions|0|2|0|0|0|110|110|na|2024
PS|q01b|Have you helped one or more students at your school explore the following post-high school options?|2-year degree/Associate degree|Yes/No|99|110|0.9|Gender|Male||All Schools|All Regions|0|3|0|0|0|99|110|na|2024
PS|q01b|Have you helped one or more students at your school explore the following post-high school options?|2-year degree/Associate degree|Yes/No|11|11|1|Race/Ethnicity|Hispanic/Latine/x||All Schools|All Regions|0|1|0|0|0|11|11|na|2024
