Region|construct|question|question_header|question_subheader|answer_type|count_met|count_students|pct_met|report_group|student_group|ext_reference_cleaned|School|lt10supp|rank_order|count_lt10supp|compsupp|flag_supp|count_met_og|count_students_og|suppression_notes|year
RegionA|PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|219|390|0.561538461538462|All|All||All Schools|0|1|0|0|0|219|390|na|2024
RegionA|PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|10|10|1|First Generation Status|||All Schools|0|1|0|0|0|10|10|na|2024
RegionA|PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|94|123|0.764227642276423|First Generation Status|Not First Generation||All Schools|0|2|0|0|0|94|123|na|2024
RegionA|PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|115|257|0.447470817120623|First Generation Status|First Generation||All Schools|0|3|0|0|0|115|257|na|2024
RegionA|PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|0|19|0|Gender|Other/Prefer Not to Say||All Schools|0|1|0|0|0|0|19|na|2024
RegionA|PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|31|41|0.75609756097561|Gender|Unknown||All Schools|0|2|0|0|0|31|41|na|2024
RegionA|PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|94|136|0.691176470588235|Gender|Male||All Schools|0|3|0|0|0|94|136|na|2024
RegionA|PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|94|194|0.484536082474227|Gender|Female||All Schools|0|4|0|0|0|94|194|na|2024
RegionA|PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|31|51|0.607843137254902|Grade Level|10th Grade||All Schools|0|1|0|0|0|31|51|na|2024
RegionA|PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|9|98|0.0918367346938776|Grade Level|9th Grade||All Schools|0|2|0|0|0|9|98|na|2024
RegionA|PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|86|117|0.735042735042735|Grade Level|12th Grade||All Schools|0|3|0|0|0|86|117|na|2024
RegionA|PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|93|124|0.75|Grade Level|11th Grade||All Schools|0|4|0|0|0|93|124|na|2024
RegionA|PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|6|19|0.315789473684211|Race/Ethnicity|Asian/Asian American||All Schools|0|1|0|0|0|6|19|na|2024
RegionA|PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|21|28|0.75|Race/Ethnicity|Black/African American||All Schools|0|2|0|0|0|21|28|na|2024
RegionA|PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|39|49|0.795918367346939|Race/Ethnicity|Unknown||All Schools|0|3|0|0|0|39|49|na|2024
RegionA|PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|42|62|0.67741935483871|Race/Ethnicity|White||All Schools|0|4|0|0|0|42|62|na|2024
RegionA|PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|30|72|0.416666666666667|Race/Ethnicity|Multiracial||All Schools|0|5|0|0|0|30|72|na|2024
RegionA|PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|81|160|0.50625|Race/Ethnicity|Hispanic/Latine/x||All Schools|0|6|0|0|0|81|160|na|2024
RegionA|PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|138|279|0.494623655913978|Race/Ethnicity|Students of Color||All Schools|0|7|0|0|0|138|279|na|2024
RegionA|PS|q01b|Has anyone from your school helped you explore the following post-high school options?|2-year degree/ Associate degree|Yes/No|226|390|0.57948717948718|All|All||All Schools|0|1|0|0|0|226|390|na|2024
