construct|question|question_header|question_subheader|answer_type|count_met|count_students|pct_met|report_group|student_group|ext_reference_cleaned|School|Region|lt10supp|rank_order|count_lt10supp|compsupp|flag_supp|count_met_og|count_students_og|suppression_notes|year
PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|804|1449|0.554865424430642|All|All||All Schools|All Regions|0|1|0|0|0|804|1449|na|2024
PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|42|42|1|First Generation Status|||All Schools|All Regions|0|1|0|0|0|42|42|na|2024
PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|320|416|0.769230769230769|First Generation Status|Not First Generation||All Schools|All Regions|0|2|0|0|0|320|416|na|2024
PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|442|991|0.446014127144299|First Generation Status|First Generation||All Schools|All Regions|0|3|0|0|0|442|991|na|2024
PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|0|53|0|Gender|Other/Prefer Not to Say||All Schools|All Regions|0|1|0|0|0|0|53|na|2024
PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|126|167|0.754491017964072|Gender|Unknown||All Schools|All Regions|0|2|0|0|0|126|167|na|2024
PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|324|517|0.626692456479691|Gender|Male||All Schools|All Regions|0|3|0|0|0|324|517|na|2024
PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|354|712|0.497191011235955|Gender|Female||All Schools|All Regions|0|4|0|0|0|354|712|na|2024
PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|103|209|0.492822966507177|Grade Level|10th Grade||All Schools|All Regions|0|1|0|0|0|103|209|na|2024
PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|10|324|0.0308641975308642|Grade Level|9th Grade||All Schools|All Regions|0|2|0|0|0|10|324|na|2024
PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|315|443|0.711060948081264|Grade Level|12th Grade||All Schools|All Regions|0|3|0|0|0|315|443|na|2024
PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|376|473|0.79492600422833|Grade Level|11th Grade||All Schools|All Regions|0|4|0|0|0|376|473|na|2024
PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|11|33|0.333333333333333|Race/Ethnicity|Asian/Asian American||All Schools|All Regions|0|1|0|0|0|11|33|na|2024
PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|50|90|0.555555555555556|Race/Ethnicity|Black/African American||All Schools|All Regions|0|2|0|0|0|50|90|na|2024
PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|135|176|0.767045454545455|Race/Ethnicity|Unknown||All Schools|All Regions|0|3|0|0|0|135|176|na|2024
PS|q01a|Has anyone from your school helped you explore the following post-high school options?|1-year certificate/ trades program|Yes/No|192|276|0.695652173913043|Race/Ethnicity|White||All Schools|All Regions|0|4|0|0|0|192|276|na|2024
